ID,bac_com,fun_com,bf_com,bac,fun,bf,type,pH,WC,Clay,silt,Sand,TN,TP,TC,MAP,site,Richness1,Shannon1,PD1,pcoa1,CopyNumber,Shannon2,Richness2,pd2,pcoa2,nw1,nw2,shannon,Richness,soil.1,div.1,com.1,nc.1,nw.1,MAT,plantdiv,ST,ALT
Bacteria_F242_raw,0.46487214,0.246753247,0.548915918,0.049396341,0.042076503,0.001917247,Desert,9.14,12.45252306,13.834,86.166,0,0.45028379,0.540084388,5.19213195,104.7129104,s24,8793,8.460791914,236.04149,-0.110972271,1.755235887,4.279281664,496,169.20502,-0.168339911,1.660580653,1.187415726,12.74007358,9289,-0.873618353,0.938550746,0.226003793,-1.338091321,0.084852268,5.990725474,0.486509627,Grey desert soil,1307.62
Bacteria_F243_raw,0.46432086,0.265822785,0.550234253,0.050739172,0.039186508,0.002122218,Desert,9.08,13.45692475,8.655,91.345,0,0.64901837,0.625328982,5.46767668,104.7129104,s24,7251,8.285416196,185.32001,-0.130388647,1.791065297,5.071613267,758,225.5962,-0.158060355,1.660580653,1.187415726,13.35702946,8009,-1.235212466,1.007860761,0.225563491,-0.757647283,0.084852268,5.990725474,0.304276181,Grey desert soil,1307.62
Bacteria_F251_raw,0.462451833,0.23943662,0.545607163,0.049092305,0.037546272,0.001796422,Desert,9.57,1.5231648,3.773,96.227,0,0.2384106,0.284909544,1.8333379,95.8451004,s25,8613,8.339980849,247.99046,-0.13290771,1.933928777,4.22198646,495,176.98861,-0.264441308,1.77265801,1.227209977,12.56196731,9108,1.159148053,0.449548313,0.134998255,-1.580615007,1.936905879,5.041727814,0.540190697,Grey desert soil,1534.08
Bacteria_F252_raw,0.460680656,0.25,0.554150632,0.048468232,0.042937853,0.001868113,Desert,9.25,1.97464145,3.765,96.235,0,0.2655455,0.298863021,2.28401095,95.8451004,s25,8413,8.347250242,260.20148,-0.110165916,1.896420383,4.167694368,410,150.56158,-0.284991349,1.77265801,1.227209977,12.51494461,8823,0.93134289,0.427585875,0.175765104,-1.601119131,1.936905879,5.041727814,0.579849595,Grey desert soil,1534.08
Bacteria_F253_raw,0.457946837,0.240506329,0.559128065,0.047349534,0.040450589,0.001898122,Desert,9.16,1.94328773,4.99,95.01,0,0.24125326,0.332142106,2.04051226,95.8451004,s25,7927,8.197964355,245.24001,-0.108190873,2.049763005,4.062313947,422,148.58858,-0.313118017,1.77265801,1.227209977,12.2602783,8349,0.819084198,-0.207448964,0.158304147,-1.784937082,1.936905879,5.041727814,0.650566678,Grey desert soil,1534.08
Bacteria_F261_raw,0.462184683,0.263157895,0.550317797,0.050379648,0.038914491,0.001972758,Desert,9.35,11.54144074,5.514,94.486,0,0.18066478,0.190664037,1.38766213,100.2101759,s26,8037,8.193284462,261.06923,0.078199361,2.001599489,3.946881033,460,157.86777,0.073455053,1.581957294,1.142818235,12.1401655,8497,0.385397895,-0.327148053,0.174654588,-1.054262297,-1.409237128,5.534542149,0.750764282,Grey desert soil,1512.89
Bacteria_F262_raw,0.461339962,0.2375,0.538258575,0.053680017,0.040962622,0.002183424,Desert,9.24,1.34498991,11.217,88.783,0,0.18382493,0.188962852,1.71435198,100.2101759,s26,7004,8.166018461,192.81064,0.048684777,2.316923238,4.126338912,407,151.08502,-0.304542028,1.581957294,1.142818235,12.29235737,7411,1.304530821,-0.266291465,0.036119147,-0.065266597,-1.409237128,5.534542149,0.796288615,Grey desert soil,1512.89
Bacteria_F263_raw,0.464225849,0.256097561,0.543247344,0.050538941,0.039423077,0.002004441,Desert,9.08,1.5959596,7.815,92.185,0,0.14557458,0.191607793,1.36490539,100.2101759,s26,8735,8.359965017,249.95387,0.09543583,2.030842099,5.425499279,1059,267.50968,0.003252027,1.581957294,1.142818235,13.7854643,9794,1.223271046,1.593091873,0.154848837,-0.97440641,-1.409237128,5.534542149,0.764307421,Grey desert soil,1512.89
Bacteria_F271_raw,0.438280785,0.263157895,0.605651106,0.05124336,0.038914491,0.002229416,Desert,9.01,1.09539023,1.426,24.861,73.713,0.12370459,0.125449984,0.94823857,93.19494664,s27,6423,8.046984669,187.45505,-0.274411329,2.043602767,4.848961595,741,229.27698,0.163631718,1.592749658,1.333210269,12.89594626,7164,2.282327438,-0.054747463,0.137637533,-0.494564754,0.948311306,7.955453266,0.696146802,Grey brown desert soil,990.83
Bacteria_F272_raw,0.45683819,0.260273973,0.558666667,0.048804546,0.041242938,0.00165712,Desert,9.02,1.45053042,2.634,39.542,57.824,0.14432678,0.145388942,1.13252462,93.19494664,s27,7811,8.136163745,241.64736,-0.280625809,1.98694949,4.309222139,449,157.0319,-0.21412591,1.592749658,1.333210269,12.44538588,8260,2.009282843,-0.211772037,0.126940674,-1.847398146,0.948311306,7.955453266,0.77367913,Grey brown desert soil,990.83
